@relation 'no_zero_other_class_at_end-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,13'

@attribute Time numeric
@attribute Day numeric
@attribute Quarter {Winter,Spring,Fall,Other,Summer}
@attribute Class {Empty,'Not Busy','Moderately Busy',Busy}

@data
230,1,Winter,Empty
230,4,Winter,Empty
230,5,Winter,Empty
230,3,Spring,Empty
230,0,Fall,Empty
230,3,Fall,Empty
230,2,Winter,Empty
230,1,Fall,Empty
230,4,Fall,Empty
230,3,Winter,Empty
230,0,Winter,Empty
230,3,Spring,Empty
230,2,Fall,Empty
230,4,Winter,Empty
230,0,Winter,Empty
230,1,Winter,Empty
230,3,Fall,Empty
230,1,Winter,Empty
230,2,Winter,Empty
230,4,Fall,Empty
230,0,Fall,Empty
230,2,Winter,Empty
230,3,Winter,Empty
230,1,Spring,Empty
230,1,Fall,Empty
230,0,Winter,Empty
230,3,Winter,Empty
230,4,Winter,Empty
230,2,Fall,Empty
230,1,Spring,Empty
230,3,Spring,Empty
230,0,Fall,Empty
230,2,Winter,Empty
230,2,Spring,Empty
230,1,Fall,Empty
230,4,Fall,Empty
230,3,Winter,Empty
230,2,Fall,Empty
230,4,Winter,Empty
230,0,Winter,Empty
230,1,Fall,Empty
230,3,Other,Empty
230,3,Fall,Empty
230,1,Winter,Empty
230,0,Spring,Empty
230,2,Fall,Empty
230,4,Fall,Empty
230,0,Fall,Empty
230,3,Fall,Empty
230,1,Fall,Empty
230,0,Winter,Empty
230,3,Winter,Empty
230,0,Spring,Empty
230,4,Fall,Empty
230,2,Fall,Empty
230,1,Winter,Empty
230,4,Winter,Empty
230,1,Spring,Empty
230,3,Spring,Empty
230,0,Fall,Empty
230,2,Winter,Empty
230,2,Spring,Empty
230,1,Fall,Empty
230,3,Winter,Empty
230,0,Fall,Empty
230,2,Fall,Empty
230,4,Winter,Empty
230,0,Winter,Empty
230,4,Spring,Empty
230,3,Fall,Empty
230,4,Other,Empty
230,4,Fall,Empty
230,1,Spring,Empty
300,2,Spring,Empty
300,1,Fall,Empty
300,3,Spring,Empty
300,4,Spring,Empty
300,3,Fall,Empty
300,4,Fall,Empty
300,6,Spring,Empty
300,0,Spring,Empty
300,6,Fall,Empty
300,1,Spring,Empty
300,0,Fall,Empty
300,2,Spring,Empty
300,1,Fall,Empty
300,2,Winter,Empty
300,3,Spring,Empty
300,2,Fall,Empty
300,3,Winter,Empty
300,4,Spring,Empty
300,3,Fall,Empty
300,4,Winter,Empty
300,4,Fall,Empty
300,5,Winter,Empty
300,6,Winter,Empty
