Year,Month,Day,Time,Quarter,Quarter Progress,Class
2015.0,7.0,10.0,1100,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1130,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1200,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1230,Summer,0.3333333333333333,Moderately Busy
2015.0,7.0,10.0,1300,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1330,Summer,0.3333333333333333,Moderately Busy
2015.0,7.0,10.0,1400,Summer,0.3333333333333333,Moderately Busy
2015.0,7.0,10.0,1430,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1500,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1530,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1600,Summer,0.3333333333333333,Empty
2015.0,7.0,10.0,1630,Summer,0.3333333333333333,Not Busy
2015.0,7.0,10.0,1700,Summer,0.3333333333333333,Empty
2015.0,7.0,11.0,730,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,800,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,830,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,900,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,930,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1000,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1030,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1100,Summer,0.35185185185185186,Not Busy
2015.0,7.0,11.0,1130,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1200,Summer,0.35185185185185186,Not Busy
2015.0,7.0,11.0,1230,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1300,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1330,Summer,0.35185185185185186,Not Busy
2015.0,7.0,11.0,1400,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1430,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1500,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1530,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1600,Summer,0.35185185185185186,Empty
2015.0,7.0,11.0,1630,Summer,0.35185185185185186,Empty
2015.0,7.0,12.0,800,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,930,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1000,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1030,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1100,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1130,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1200,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1230,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1300,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1330,Summer,0.37037037037037035,Not Busy
2015.0,7.0,12.0,1400,Summer,0.37037037037037035,Not Busy
2015.0,7.0,12.0,1430,Summer,0.37037037037037035,Not Busy
2015.0,7.0,12.0,1500,Summer,0.37037037037037035,Not Busy
2015.0,7.0,12.0,1530,Summer,0.37037037037037035,Not Busy
2015.0,7.0,12.0,1600,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1630,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1700,Summer,0.37037037037037035,Empty
2015.0,7.0,12.0,1730,Summer,0.37037037037037035,Empty
2015.0,7.0,13.0,730,Summer,0.3888888888888889,Empty
2015.0,7.0,13.0,800,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,830,Summer,0.3888888888888889,Moderately Busy
2015.0,7.0,13.0,900,Summer,0.3888888888888889,Moderately Busy
2015.0,7.0,13.0,930,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1000,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1030,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1100,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1130,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1200,Summer,0.3888888888888889,Moderately Busy
2015.0,7.0,13.0,1230,Summer,0.3888888888888889,Moderately Busy
2015.0,7.0,13.0,1300,Summer,0.3888888888888889,Moderately Busy
2015.0,7.0,13.0,1330,Summer,0.3888888888888889,Moderately Busy
2015.0,7.0,13.0,1400,Summer,0.3888888888888889,Moderately Busy
2015.0,7.0,13.0,1430,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1500,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1530,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1600,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1630,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1700,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1730,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1800,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,1830,Summer,0.3888888888888889,Empty
2015.0,7.0,13.0,1900,Summer,0.3888888888888889,Empty
2015.0,7.0,13.0,1930,Summer,0.3888888888888889,Not Busy
2015.0,7.0,13.0,2000,Summer,0.3888888888888889,Empty
2015.0,7.0,13.0,2030,Summer,0.3888888888888889,Empty
2015.0,7.0,13.0,2100,Summer,0.3888888888888889,Empty
2015.0,7.0,13.0,2130,Summer,0.3888888888888889,Empty
2015.0,7.0,14.0,730,Summer,0.4074074074074074,Empty
2015.0,7.0,14.0,800,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,830,Summer,0.4074074074074074,Moderately Busy
2015.0,7.0,14.0,900,Summer,0.4074074074074074,Moderately Busy
2015.0,7.0,14.0,930,Summer,0.4074074074074074,Moderately Busy
2015.0,7.0,14.0,1000,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1030,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1100,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1130,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1200,Summer,0.4074074074074074,Moderately Busy
2015.0,7.0,14.0,1230,Summer,0.4074074074074074,Moderately Busy
2015.0,7.0,14.0,1300,Summer,0.4074074074074074,Moderately Busy
2015.0,7.0,14.0,1330,Summer,0.4074074074074074,Moderately Busy
2015.0,7.0,14.0,1400,Summer,0.4074074074074074,Moderately Busy
2015.0,7.0,14.0,1430,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1500,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1530,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1600,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1630,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1700,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1730,Summer,0.4074074074074074,Not Busy
2015.0,7.0,14.0,1800,Summer,0.4074074074074074,Empty
2015.0,7.0,14.0,1830,Summer,0.4074074074074074,Empty
2015.0,7.0,14.0,1900,Summer,0.4074074074074074,Empty
2015.0,7.0,14.0,1930,Summer,0.4074074074074074,Empty
2015.0,7.0,14.0,2000,Summer,0.4074074074074074,Empty
2015.0,7.0,14.0,2030,Summer,0.4074074074074074,Empty
2015.0,7.0,14.0,2100,Summer,0.4074074074074074,Empty
2015.0,7.0,14.0,2130,Summer,0.4074074074074074,Empty
2015.0,7.0,15.0,700,Summer,0.42592592592592593,Empty
2015.0,7.0,15.0,730,Summer,0.42592592592592593,Empty
2015.0,7.0,15.0,800,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,830,Summer,0.42592592592592593,Moderately Busy
2015.0,7.0,15.0,900,Summer,0.42592592592592593,Moderately Busy
2015.0,7.0,15.0,930,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1000,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1030,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1100,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1130,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1200,Summer,0.42592592592592593,Moderately Busy
2015.0,7.0,15.0,1230,Summer,0.42592592592592593,Moderately Busy
2015.0,7.0,15.0,1300,Summer,0.42592592592592593,Moderately Busy
2015.0,7.0,15.0,1330,Summer,0.42592592592592593,Moderately Busy
2015.0,7.0,15.0,1400,Summer,0.42592592592592593,Moderately Busy
2015.0,7.0,15.0,1430,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1500,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1530,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1600,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1630,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1700,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1730,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1800,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1830,Summer,0.42592592592592593,Not Busy
2015.0,7.0,15.0,1900,Summer,0.42592592592592593,Empty
2015.0,7.0,15.0,1930,Summer,0.42592592592592593,Empty
2015.0,7.0,15.0,2000,Summer,0.42592592592592593,Empty
2015.0,7.0,15.0,2030,Summer,0.42592592592592593,Empty
2015.0,7.0,15.0,2100,Summer,0.42592592592592593,Empty
2015.0,7.0,15.0,2130,Summer,0.42592592592592593,Empty
2015.0,7.0,16.0,630,Summer,0.4444444444444444,Empty
2015.0,7.0,16.0,730,Summer,0.4444444444444444,Empty
2015.0,7.0,16.0,800,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,830,Summer,0.4444444444444444,Moderately Busy
2015.0,7.0,16.0,900,Summer,0.4444444444444444,Moderately Busy
2015.0,7.0,16.0,930,Summer,0.4444444444444444,Moderately Busy
2015.0,7.0,16.0,1000,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1030,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1100,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1130,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1200,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1230,Summer,0.4444444444444444,Moderately Busy
2015.0,7.0,16.0,1300,Summer,0.4444444444444444,Moderately Busy
2015.0,7.0,16.0,1330,Summer,0.4444444444444444,Moderately Busy
2015.0,7.0,16.0,1400,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1430,Summer,0.4444444444444444,Moderately Busy
2015.0,7.0,16.0,1500,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1530,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1600,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1630,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1700,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1730,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1800,Summer,0.4444444444444444,Not Busy
2015.0,7.0,16.0,1830,Summer,0.4444444444444444,Empty
2015.0,7.0,16.0,1900,Summer,0.4444444444444444,Empty
2015.0,7.0,16.0,1930,Summer,0.4444444444444444,Empty
2015.0,7.0,16.0,2000,Summer,0.4444444444444444,Empty
2015.0,7.0,16.0,2030,Summer,0.4444444444444444,Empty
2015.0,7.0,16.0,2100,Summer,0.4444444444444444,Empty
2015.0,7.0,16.0,2130,Summer,0.4444444444444444,Empty
2015.0,7.0,17.0,700,Summer,0.46296296296296297,Empty
2015.0,7.0,17.0,730,Summer,0.46296296296296297,Empty
2015.0,7.0,17.0,800,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,830,Summer,0.46296296296296297,Moderately Busy
2015.0,7.0,17.0,900,Summer,0.46296296296296297,Moderately Busy
2015.0,7.0,17.0,930,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1000,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1030,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1100,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1130,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1200,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1230,Summer,0.46296296296296297,Moderately Busy
2015.0,7.0,17.0,1300,Summer,0.46296296296296297,Moderately Busy
2015.0,7.0,17.0,1330,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1400,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1430,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1500,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1530,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1600,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1630,Summer,0.46296296296296297,Not Busy
2015.0,7.0,17.0,1730,Summer,0.46296296296296297,Empty
2015.0,7.0,18.0,800,Summer,0.48148148148148145,Empty
2015.0,7.0,18.0,830,Summer,0.48148148148148145,Empty
